blog,text
1,on my way to work at 4am I noticed a bright white light travelling from the distance toward me over my neighbours house it passed over and stopped motionless and silent in the sky there were no normal red/green identification lights as per a plane or helicopter. the object made no sound. I took several pictures with my mobile phone and observed it for over 30 minutes not moving most fo the photos show just a bright white light however when I changed settings and looked at the pics I noticed that the shape had changed and that it was triangular with 5 distinct white lights along the perimeter any one know where I can post the pics as its really strange
2,I got my binoculars  it was like the top of a jellyfish on its side. i could see small lightning strikes all through it.red.green.blue.white. i have never seen such a thing. u know those electricity balls u get? It was that  just in the sky
3,I was sitting at the dinner table with my children  who did NOT witness this. I had a clear view out of my living room window from this vantage point  and saw what I assumed was a reflection of my saucer-shaped living room light fixture. I didn’t pay it much attention until I saw this ‘reflection’ increase in brightness.  It began to project beams of light to the ground  from its perimeter. After a few seconds  the beams retracted back into the craft and individual lights around the outside of it began to blink out in a circular pattern until nothing was left visible. At this point  I ran to the window and could see nothing. The craft was across the street from my house  to the left of a small storage shed at a playground.  There was nothing in this area that could have made any sort of light  much less a display like what I saw. I noticed that from where I was sitting  my living room light does not reflect in this window at all.. and even if it had  the craft was shaped like an upside down shallow bowl  and my light fixture is not turned in this manner.
4,One thing I totally remember is that it was hovering but not moving or wobbling around. It was standing perfectly still until the multi colored lights turned on. They were bright and awesome  then the white light came from it’s underbelly  that is when it began to lower its self straight down as if landing on something. I continued walking my dog as if nothing happened. Very strange to be so calm.  I may have been in slight shock….?but I’ll say this  I have always wanted to see one as I have been researching them since I was 17. Sometimes  you get what you wish for…be careful…
5,appeared extremely quickly and darted across the sky at twilight. Unable to follow because it was blocked behind a tree.
6,Initially moving in an erratic manner
7,Laying on top my bed talking to girlfriend.  Just gazing out the window at the only cloud I could see. Did not see anything going into the cloud but out comes to silver disc.  Called Airport and FBI.  No help or follow-up.
8,all happened to me and my friend Mike just this last weekend…… My friend and I were visiting with my mother and my uncle near Mena  Arkansas the weekend of October 16  2010. We were staying in a small camper on my uncles land  the door was facing the west where we had a good view of the tree line and the mountains in the beyond.  At about 2 a.m. we were watching through the camper window (looking out to the west) and noticed a small cluster of red  blue  and green lights. The object seemed to be just above the mountains in the distance. flying in a circular motion. After a few seconds it would seem to “jump” and begin flying in circles again.  My friend had gone to bed but i stayed up to watch the strange object. I pulled the curtain back on another window in the camper  and looked toward the mountains in the northwest and noticed several green lights flying a darting around above the tree line in different directions.  Jumping up i opened up the door to the cool night in order to get a better look at them. Then i woke my friend Mike and told him what i had seen off in the northwestern sky. He got up and came to the camper door and we watched as the numerous green lights flew around and at time hovered above the in the night sky above the mountains. A couple times the hovering lights would seem to almost “drip” what seemed like a green light.  Mike was exhausted and after watching the display for 5 or 10 minutes he went back to bed. I was fascinated too excited to think about anything but watching the lights in the sky. I went into my uncle’s house where i woke my mother and got my uncle’s binoculars. My mother and myself walked out toward the camper and using the binoculars i got a better look at the green lights/objects.  They were elongated hexagons and i could see lines that looked as if they formed some sort of panelling. My mother was sleepy  cold  and didn’t have her glasses with her. After a few minutes she went back inside the house  back to bed. I stood outside watching them through the binoculars until i got cold  then i went back inside the camper and kept watching them through the westward facing window for about another 2 hours.  Just before dawn i noticed yet another object in the sky that looked at first like a star  except that it was moving and was far too big to be a star. Looking at this third object through my uncle’s field glasses i saw a white rounded octagonal object. I woke Mike again. He looked at it through the binoculars  at first telling me it looked like a star he acknowledged at last that it was no star  handed the field glasses back and went back to sleep.  In the predawn twilight I studied the white object until it disappeared off to the west into the sky. By this time the green lights had also disappeared and the first rays of the sun had begun to appear in the east. With my head filled with thoughts of the things i saw that night i went to bed. I tried to sleep but instead lay there thinking until finally drifting off to sleep around 10 a.m.
9,it moved realy fast with no sound  no sonic boom  nothing.
10,I live on the Nautical Mile. Woke up around 4-4:30am for no reason. NO NOISE. EXTREMELY QUIET. Then bright white light lite the entire corner of the parking lot (2 buildings). Bed next to the window with blinds slightly up. I did not move  questioned light  but didn’t think anything of it. Then heard industrial sound 3 times.  Opened eye a little to peek and saw glowing yellow light at window. Thought workers outside. Noise stopped and then it started again. This time robotic sound at end of industrial sound. Realized this was UFO. Scared stiff as I laid in bed. Then light went out. Car drove by on Jefferson.
11,My roommate and i were traveling on 285 toward south cobb drive from perimeter mall. we were following these strange 4 orbs of blue lights in the sky  suddenly however  we were at our exit and we never remembered crossing over interstate 75 or getting to the exit.  we looked at each other in amazement wondering how we got to our exit in less then a minute on the clock. we got off the south cobb drive exit and headed towards perry blvd looking to head back into the city  when we suddenly saw the lights again over the west highland neighborhood off perry blvd.  We called a friend of ours to get his camera out and film it  but in a matter of less than 2 minutes the 4 blue orbs became one big bright white light and shot toward the city at an alarmingly fast rate. we lost sight of this light quickly  but looked south and it jogged left to right at a high rate of speed and then flew straight up in the air towards the city and disappeared.  traffic was very slow that night and we thought we were dead because there wasn’t any noise outside at all; however  when it left the night sky the city noises came right back.  very erie night for both of us. seemed like 5 minutes later we saw 2 f15s and several helicopters heading toward the city from the direction of Dobbins Air Force Base.we saw something  but what we don’t know. did seem like the airbase was in pursuit though.
12,I was  with my brother in-law driving down Vermont ave and i remember us making a left on Vernon. I don’t know what made me look up into the sky but when i did i saw this object just sitting there large in size.( I compared it to a very large Boeing 747. It had a lot of windows  and what i thought was strange was it seemed like fire was coming from it but it was like it wasn’t real.  It’s really hard to describe. also there were different colored lights on it; it would put you in the mind of Christmas lights. I remember asking my brother in-law if he saw what I saw and he thinks he saw it due to him driving.  Once i was dropped off back home  me and another friend who was in the car reflected on what we saw and we decide we should tell someone so we went across the street from my house at the time to our karate instructor and told him on what we saw. He told us to not tell anyone else because the U.S Army would take us away from our family so we didn’t or shall I say I didn’t. While we were telling him the story we seen the object again but it was in the distant and the color lights were showing and this time my instructor saw it and told us to go home.  I was 13 when that happen and i’m 45 now and it feels good to let that out because I know what i saw. Also I forgotten to mention  it looked like people were falling out or could it have been people going in i’m not sure me being in a moving car
13,There were lights hovering in the sky that appeared to be over Aptos or Santa Cruz. After watching it for a few minutes I went back in the house and got a pair of binoculars. The lights appeared to be circular and changed colors. I could hear a faint humming sound that did not sound like an aircraft of any sort.
14,We were on our way home to Cotton from Menahga and had just gone past Walker. This thing was coming toward us in the oncoming traffic  leading the parade  so to speak. Can’t tell if it was on the ground or just above the ground. I thought huge toy  right away  but it was going with the traffic at about 65 mph. My husband saw it too!  There were lots of cars behind it going in the same direction. I thought it must be some exhibit for the “Moon Days” celebration which is an annual event at Walker.   When I got home  I looked it up but Moon Days was over with. I don’t know what it was.  A toy wouldn’t have gone that fast. There were no glass windows  but around the black dome there were black indentations. I looked up UFO sightings and there was one very similar of a small  copper colored disk with a black dome seen on the ground in South Africa many years ago.  Have you heard of such a thing? Another strange thing that I didn’t see  but that my son did  was what appeared to be a huge  Boeing 707 hovering above the tree tops in Brainerd  Minnesota a couple years ago.  He and his family had seen it and he turned around and went back and parked the car to get a better look!  Nobody else paid any attention. Nobody else stopped to look at it.  It made no noise!  It appeared to be a huge balloon and it was close enough he could see the rivets! Has anybody heard of anything like this  before?
15,i was approx 15yrs of age  in a remote Pocono community in which my family had a vacation home (indian mt lakes)…i was hanging out with some older friends of mine about the month of august  between 9:30 and 11 pm when a football shaped object with a band of red flashing sequential lights appeared from below the tree line  above the lake and hovered silently above the tree line for at least 5 to 10min if not longer…there were 5 or 6 of us there and we were not the least anxious or afraid  but were just looking on with amazement…i  to this day cannot remember anything that happened after that  that evening..
16,I like to look at the stars and while walking my dog  I noticed this light. At first  I thought nothing of it and ignored it. while on youtube  I saw a UFO posting and thought it to be a coincidence  I told my husband about it  and we went to look at it  it was still there.  it was turning multiple colors  and had an aura it kind of looked like those static electricity orbs with the electricity flying out of the central color and went around the aura.. I went into my backyard to see if I could see it better  when I noticed another one. they were just there still  and changing colors. I tried to videotape it  and when I was  i noticed that they were going closer to each other  but very very slowly.  I was outside about 10 min when I decided to report it.
17,I was sitting on my porch and this is after my mother had a very interesting experience in her bedroom a few nights earlier…but thats a different story.  I saw what i thought was a star but i first saw it began to move then as it got closer i could hear a slight jet drone but the light got so close/big that i was actually seeing the craft not the light… it was badge shaped like a policeman’s badge kinda like the shield looking ones anyway it was banking a turn with the bottom of the craft facing me and then i could no longer see as the it was behind the tree in my front yard.  What makes it so strange is that my mother had been telling me that she had been seeing lights on the porch. and before this she had a rather strange encounter with a creature… i know it sounds crazy but my mother was terrified after her experience. I was terrified she told me to come in the room and it was dark she told me “there is something in here” i slowly turned the light on and i saw nothing she said she woke up and there was a grey figure beside her she tried to scream and she said she couldn’t scream or move. weird huh being all the lights and all.
18,Me and my mother’s friend were walking out from the house to her car to go to Hannaford  when I pointed to the sky in the west and saw a bright ball of light. I thought it was Mars  I was certain at first. “No  it’s a helicopter” she said. “No  it’s not. It’s a f***ing UFO” I said after studying it for a few seconds. I was terrified. So we were watching it  and I could see it hover up and down slightly  it wasn’t a planet. The red blinking  PURE RED lights from the radio tower in southern Newcastle on Route 1. The ball was a red/orange swirly orb. Then  just as it was there  it blanked out PITCH BLACK. Only night sky to be seen. But then she and I could see faint rings of  light blinking  in a circular form. I could see it moving back and forth in the sky  and then the other way by Damariscotta Lake. Keep in mind it was still far far away. On our way back from Hannaford we could see it moving toward the south  the whole while I was pleading for it to leave  and go away. I was terrified. I was shaking the whole time. This whole experience.
19,It was dark  and I saw three lights to the left of our car. I believe they were too large to be aircraft lights. As I watched they went out  one at a time.  A few moments later I saw them again for a few seconds before they went out again.  My husband also saw them the second time. The area is rather desolate  with no towers or farms in the immediate area.
